step,entropy,expected_J,optimality_gap,infeasible_mass
47,5.806606394991695,0.030044289864196095,0.030044289864196095,1.653454641687505e-05
48,5.769996455603207,0.028908661587614348,0.028908661587614348,1.7105224811432528e-05
49,5.733865343974378,0.02782912543595987,0.02782912543595987,1.7669343230919557e-05
50,5.698210335521124,0.026802158026975942,0.026802158026975942,1.8226392716696115e-05
51,5.663028086297783,0.025824504357019704,0.025824504357019704,1.8775919002703078e-05
52,5.628314720190241,0.024893154343335132,0.024893154343335132,1.9317519442941136e-05
53,5.594065906749969,0.024005321629506794,0.024005321629506794,1.9850839966881343e-05
54,5.560276934655717,0.023158424474728607,0.023158424474728607,2.0375572083283697e-05
55,5.526942770306616,0.022350068342369165,0.022350068342369165,2.0891449964987234e-05
56,5.494058104815648,0.0215780301240547,0.0215780301240547,2.139824762165134e-05
57,5.461617428096112,0.020840244185430287,0.020840244185430287,2.1895776139273137e-05
58,5.4296150278983655,0.020134788911268957,0.020134788911268957,2.238388109877474e-05
59,5.398045068840161,0.019459875491643745,0.019459875491643745,2.2862440011391583e-05
60,5.366901596093328,0.018813836882513497,0.018813836882513497,2.3331359951141743e-05
61,5.3361785761992575,0.018195118281871796,0.018195118281871796,2.3790575251476036e-05
62,5.305869940643842,0.017602268402030354,0.017602268402030354,2.4240045319675355e-05
63,5.275969481174392,0.017033930152783774,0.017033930152783774,2.4679752741424492e-05
64,5.246471076348091,0.016488835569107515,0.016488835569107515,2.5109701061755614e-05
65,5.2173684537521705,0.01596579629254621,0.01596579629254621,2.552991331637349e-05
66,5.188655408260642,0.015463699864383326,0.015463699864383326,2.5940430001980023e-05
67,5.160325707244128,0.014981502846694209,0.014981502846694209,2.634130762997207e-05
68,5.132373141901942,0.014518226254561731,0.014518226254561731,2.67326171363129e-05
69,5.104791475937009,0.014072950186750598,0.014072950186750598,2.711444256319316e-05
70,5.077574477139333,0.013644809957090515,0.013644809957090515,2.7486879675247834e-05
71,5.050715924245782,0.013232992095937453,0.013232992095937453,2.7850034732115156e-05
72,5.0242096427642755,0.01283673115662841,0.01283673115662841,2.8204023253475185e-05
73,4.998049370093693,0.012455304879190075,0.012455304879190075,2.854896923054344e-05
74,4.972228911351589,0.01208803306542461,0.01208803306542461,2.8885003767863367e-05
75,4.946742021086276,0.0117342730670678,0.0117342730670678,2.9212264490591766e-05
76,4.921582314609415,0.01139341721051921,0.01139341721051921,2.9530894673420737e-05
77,4.8967435305377895,0.011064892316981911,0.011064892316981911,2.984104209708664e-05
78,4.872219346575653,0.010748156180301447,0.010748156180301447,3.014285854884246e-05
79,4.848003414502964,0.010442695584746071,0.010442695584746071,3.0436499163861342e-05
