final_expected_J,final_optimality_gap,final_regret,final_entropy,final_infeasible_mass,mean_stability_tv,max_stability_tv,run_id,diffusion,drift_scale,lambda_shape,projection_strength
0.02177113943116325,0.02177113943116325,0.012981223619338117,5.1142457679706546,0.0013005864885077799,0.030644207970295476,0.18637900874139723,13,0.00018,0.28,0.9,0.65
0.021209581638834196,0.021209581638834196,0.012223208612359595,5.108139152714864,0.0005398066113525076,0.030963975790052084,0.24588986573586127,14,0.00018,0.28,0.9,0.85
0.0060219037933576264,0.0060219037933576264,0.006652943210929969,3.700824701615964,0.0004725705722714597,0.03610496762801991,0.1975373647163527,15,0.00018,0.28,1.7,0.65
0.005820173176778052,0.005820173176778052,0.006382122569082997,3.698668483790071,0.00020132199219306815,0.03646170218218912,0.2512958782730053,16,0.00018,0.28,1.7,0.85
0.0028702723245747305,0.0028702723245747305,0.005152278523856753,3.1693648390507447,8.559448000415123e-05,0.03889403628029273,0.2079084169916062,17,0.00018,0.28,2.6,0.65
0.0028392369699479347,0.0028392369699479347,0.005103581162545542,3.1699842186177145,3.66351675775355e-05,0.03922560344747808,0.2561509859247692,18,0.00018,0.28,2.6,0.85
0.03309333107663545,0.03309333107663545,0.021999685545317667,5.70960146378171,0.0003251319173640479,0.02767026887087783,0.18528699609241595,19,0.00042,0.1,0.9,0.65
0.03295382913970928,0.03295382913970928,0.021810166038401586,5.708354204722974,0.00013505205838393135,0.027975944159382062,0.24535685254998035,20,0.00042,0.1,0.9,0.85
0.009759524735252238,0.009759524735252238,0.009691262178164224,4.431451028630408,0.00017990845814230185,0.03323794407475371,0.19654555901240006,21,0.00042,0.1,1.7,0.65
0.009682957036776716,0.009682957036776716,0.009588066777340316,4.430603844536423,7.665713701188663e-05,0.033594998644325025,0.25081832690508077,22,0.00042,0.1,1.7,0.85
0.0037634145793168654,0.0037634145793168654,0.005843780319182887,3.563278064933081,4.16709808014823e-05,0.0368997189726765,0.20690426417822705,23,0.00042,0.1,2.6,0.65
0.0037430462961245644,0.0037430462961245644,0.005819987015543086,3.5622010102270907,1.785182906618885e-05,0.03724501218495841,0.2557182646075989,24,0.00042,0.1,2.6,0.85
0.027202025660843322,0.027202025660843322,0.01659914177477504,5.548595257657995,0.0006808372630621316,0.02865016502205584,0.18576879810477645,25,0.00042,0.18,0.9,0.65
0.02691173028548536,0.02691173028548536,0.01620208384075307,5.546235596981571,0.0002825726551780719,0.028961016250945104,0.24559210842636486,26,0.00042,0.18,0.9,0.85
0.006818660641584285,0.006818660641584285,0.007463280163150733,3.8918345016706803,0.00037297883979756633,0.03509614731618971,0.19698389498583596,27,0.00042,0.18,1.7,0.65
0.006659717359800892,0.006659717359800892,0.0072490802204727926,3.8900784829283968,0.00015890268022166336,0.03545338805845706,0.2510294550706392,28,0.00042,0.18,1.7,0.85
0.0025058942705001638,0.0025058942705001638,0.004640585316561514,3.1782716343875688,6.914238066019565e-05,0.03802195602224199,0.20734788323600073,29,0.00042,0.18,2.6,0.65
