diffusion,drift_scale,lambda_shape,projection_strength,use_llm,final_expected_J,final_feasibility,final_entropy,mean_stability_tv,final_optimality_gap,is_pareto
0.0011,0.08,2.4,0.0,True,0.009090261903570348,0.9998433009192811,4.33061771083004,0.035155964215742755,0.009090261903570348,True
0.0011,0.08,2.4,0.55,True,0.009029199301278741,0.9999297743216641,4.330244162105925,0.036164101196614305,0.009029199301278741,True
0.0011,0.08,2.4,0.85,True,0.008996107555959327,0.9999766432666852,4.3300004115169495,0.0367643757477789,0.008996107555959327,True
0.0011,0.16,0.0,0.0,False,0.42889748668388494,0.8383511768784795,7.314199260045614,0.0029499809197858413,0.42889748668388494,True
0.0011,0.16,0.0,0.55,True,0.40104862341121966,0.9999802037591927,6.87657340745432,0.007472586190835922,0.40104862341121966,True
0.0011,0.16,0.0,0.85,True,0.40088880605558586,0.9999957745176312,6.8752714938613675,0.0075977730936591615,0.40088880605558586,True
0.0011,0.16,1.0,0.0,True,0.032412323025666254,0.9985352554296197,5.7134891260882075,0.029417340516740897,0.032412323025666254,True
0.0011,0.16,1.0,0.55,True,0.03178958081133634,0.9993905913876318,5.708301720088344,0.031115505246823355,0.03178958081133634,True
0.0011,0.16,1.0,0.85,True,0.031491438973566335,0.9998046197936927,5.705956128368184,0.03166987463217209,0.031491438973566335,True
0.0011,0.16,1.7,0.0,True,0.013176875346255178,0.99924730873666,4.769506995784978,0.03465550776623273,0.013176875346255178,True
0.0011,0.16,2.4,0.0,True,0.007180943693346532,0.9997497875653824,4.189343353339335,0.03763606305897723,0.007180943693346532,True
0.0011,0.16,2.4,0.55,True,0.007078371853671554,0.9998878254104084,4.188230149105999,0.03863545052464447,0.007078371853671554,True
0.0011,0.16,2.4,0.85,True,0.0070227480880312885,0.9999626844697111,4.187560139640614,0.039230759208690215,0.0070227480880312885,True
0.0011,0.24,0.0,0.0,False,0.4026648116474619,0.891131176433674,7.3131183021907,0.004303931885152085,0.4026648116474619,True
0.0011,0.24,0.0,0.55,True,0.36991045205622963,0.9999908199711869,6.888742766106842,0.009115354883345769,0.36991045205622963,True
0.0011,0.24,0.0,0.85,True,0.36965983606280794,0.9999979843195987,6.886998899887752,0.009271970223957395,0.36965983606280794,True
0.0011,0.24,1.0,0.0,True,0.028160258451067188,0.9975664911321874,5.589313383176931,0.030402143581148212,0.028160258451067188,True
0.0011,0.24,1.0,0.55,True,0.027122235150016598,0.998985817321165,5.581551647431904,0.03210805159672286,0.027122235150016598,True
0.0011,0.24,1.0,0.85,True,0.02662292050415435,0.999674959303102,5.577843100950321,0.03266682875378748,0.02662292050415435,True
0.0011,0.24,2.4,0.0,True,0.005072531883128243,0.9995803206194057,3.848367973546339,0.039161373931906975,0.005072531883128243,True
0.0011,0.24,2.4,0.55,True,0.004900852876474519,0.9998118761677282,3.846570896219058,0.040155396393496086,0.004900852876474519,True
0.0011,0.24,2.4,0.85,True,0.004807767495746484,0.9999374239743924,3.8454858108113226,0.040746980115138456,0.004807767495746484,True
0.0011,0.32,0.0,0.0,False,0.3736887865933065,0.9304101032211548,7.309628827327615,0.005684822540263216,0.3736887865933065,True
0.0011,0.32,0.0,0.55,True,0.33529799462428883,0.9999770734838966,6.886289592346581,0.010814399883122291,0.33529799462428883,True
0.0011,0.32,0.0,0.85,True,0.3349226192839581,0.9999949407856283,6.883798811376668,0.011007529594367672,0.3349226192839581,True
0.0011,0.32,1.0,0.0,True,0.02527839807772831,0.9962712046806544,5.457331578754595,0.03139469138418981,0.02527839807772831,True
