entropy_before,entropy_after,entropy_change,infeasible_mass_before,infeasible_mass_after,infeasible_mass_change,idempotency_tv,expected_J_before,expected_J_after,expected_J_change,sample_id,contraction_ratio,dist_before,dist_after
7.667085162603884,7.173840288989977,-0.49324487361390723,0.4781497276162626,0.05403950177073712,-0.4241102258455255,0.12371097270492114,0.3709095021480557,0.21302249826578262,-0.15788700388227306,11,0.9822465761677294,0.6477091322321094,0.6362100774885427
7.665195788404715,7.165594794963191,-0.49960099344152376,0.48284763206534176,0.05174539044098017,-0.4311022416243616,0.1254983482170128,0.3783559362447041,0.21146680453073177,-0.16688913171397232,12,0.9809885693806325,0.6663585014083648,0.653690072992195
7.667880025633135,7.167644380368927,-0.5002356452642083,0.4685839609769,0.05204725317653823,-0.4165367078003618,0.1235554227910663,0.36804712314501764,0.21304388542939826,-0.15500323771561939,13,0.9889524502618283,0.6407129198889925,0.6336346120396186
7.673893958289968,7.178900571781563,-0.49499338650840485,0.4671931139745389,0.05097122382023261,-0.4162218901543063,0.1252435398042811,0.372859915331787,0.21670263672478396,-0.15615727860700301,14,1.0265706919215343,0.6503610405099169,0.667641583356101
7.668027828790887,7.182311226990058,-0.48571660180082876,0.49581204114693217,0.056563616427797,-0.43924842471913517,0.13026086684487093,0.3857539974321899,0.22253966815062481,-0.1632143292815651,15,0.986118957462852,0.6374268541219129,0.6285787048465123
7.6712309759455355,7.187127090827459,-0.4841038851180768,0.4698636568309552,0.05220869568279382,-0.41765496114816136,0.1265772478722644,0.37753965234450393,0.2223460946536544,-0.15519355769084953,16,0.9955208190312927,0.6443425741927735,0.6414564471981169
7.6681624782327376,7.163318065516771,-0.5048444127159666,0.47195898304111517,0.053719352087108846,-0.4182396309540063,0.12414608934431938,0.367468082692532,0.2112476237990332,-0.1562204588934988,17,1.0216270277361188,0.6500670278927416,0.6641260455363359
7.663924849365201,7.160429688499967,-0.503495160865234,0.48623982198335547,0.05395232063162131,-0.43228750135173416,0.12578146720704483,0.37857362802944877,0.21161238242931635,-0.16696124560013242,18,1.0058678459167536,0.6630582408502411,0.6669489644423898
7.674784317230891,7.203410480513694,-0.47137383671719757,0.4877992444655913,0.05526708993880826,-0.43253215452678306,0.12848908248025598,0.3837723528693333,0.22422101353273707,-0.15955133933659624,19,0.9962686517928122,0.6440560272385796,0.6416528299370107
7.667787774765905,7.1511986883655085,-0.5165890864003968,0.46631662068237945,0.05075735041295075,-0.4155592702694287,0.12335377331938248,0.36590067153740924,0.20827474976374238,-0.15762592177366685,20,1.0251182191190429,0.6277068936137201,0.6434737729110684
7.672352172924762,7.197358722845288,-0.4749934500794737,0.48563224386788784,0.05614122327341191,-0.4294910205944759,0.12645026192609554,0.37642924791834176,0.21992032429361397,-0.1565089236247278,21,1.0048709230050452,0.6421498285759067,0.6452776909496079
7.671074500663061,7.178206004200032,-0.49286849646302944,0.4682886873854914,0.053468451205706875,-0.41482023617978453,0.1287470558490838,0.36969207416460326,0.21657676342222473,-0.15311531074237852,22,0.9946253925769855,0.658065474809939,0.6545286312251906
7.670040184673812,7.187925851670373,-0.4821143330034392,0.5005105393220806,0.05676464079142628,-0.44374589853065427,0.1299393917611254,0.3833951314690941,0.2145643345033963,-0.1688307969656978,23,0.9946217971053243,0.6212861581576071,0.6179447551443765
7.668677397199696,7.175681410848262,-0.49299598635143393,0.47521175345855127,0.05127201232076133,-0.4239397411377899,0.12263243741371668,0.37515897871039344,0.21485731796544616,-0.16030166074494728,24,0.9924367454561552,0.6432770072451854,0.6384117394981799
7.673626657157775,7.170185723682917,-0.5034409334748577,0.466560458500315,0.05115769429314406,-0.415402764207171,0.12515134341108494,0.36975349420918285,0.21273824851673695,-0.1570152456924459,25,0.9933479679748902,0.659102243510218,0.6547178742795596
7.681874990293772,7.174929219438544,-0.5069457708552276,0.48315417035565705,0.05401403045600257,-0.4291401398996545,0.12494222288646262,0.3747745258837415,0.21240138698404099,-0.1623731388997005,26,1.022849224371122,0.6395101713859246,0.6541224827805591
7.663481340704073,7.176677335013105,-0.48680400569096793,0.4767746433934416,0.05358771946002446,-0.42318692393341717,0.12801797474827598,0.3758783779109818,0.21682597527415898,-0.1590524026368228,27,0.9871488543453311,0.6112431053296309,0.6033879311536148
7.66050724848558,7.160853211133265,-0.4996540373523146,0.46994402436801574,0.052593499093897086,-0.41735052527411864,0.12676389616177436,0.37286364762763136,0.2172513330248163,-0.15561231460281505,28,1.026692189746004,0.6512550762413252,0.6686385003104336
7.668271962191571,7.180594870232721,-0.48767709195885,0.47879118097522416,0.053407125789028204,-0.42538405518619593,0.1270020431054238,0.37689307878752537,0.21919768700630088,-0.1576953917812245,29,0.9329857750533226,0.6572087613012869,0.6131664255354482
