diffusion,drift_scale,use_llm,lambda_shape,projection_strength,final_entropy,final_infeasible_mass,final_optimality_gap,mean_tail_tv,max_probability,regime
0.00041428571428571426,0.26,True,1.7,0.85,3.5729227681520217,0.00022795269792372992,0.004999314093657771,0.009851462938499079,0.06477564642147313,stable-convergent
0.00041428571428571426,0.3,True,1.7,0.85,3.576863971862648,0.0002561569610651306,0.005430023944560403,0.010147724341079129,0.06466520691491075,oscillatory
0.00041428571428571426,0.34,True,1.7,0.85,3.5766594541128023,0.00028563066083688114,0.006018140590477838,0.010730823836607721,0.06467623022203335,oscillatory
0.0005714285714285715,0.06,True,1.7,0.85,4.4910606230356525,5.661791614009285e-05,0.010633608906555023,0.008334626979611641,0.03400379204948116,stable-convergent
0.0005714285714285715,0.1,True,1.7,0.85,4.309466847179014,8.995260135450189e-05,0.008345967722461703,0.009153768507461892,0.043235592914820646,stable-convergent
0.0005714285714285715,0.14,True,1.7,0.85,4.098311740462701,0.00013301667807346932,0.006602174703835801,0.010711810876830688,0.05297187153607116,oscillatory
0.0005714285714285715,0.18,True,1.7,0.85,3.751842977839196,0.0001856570937594152,0.005338476065179869,0.013691469915370399,0.06274930514827438,oscillatory
0.0005714285714285715,0.22,True,1.7,0.85,3.588894047068733,0.00021964375636696472,0.004818092393842309,0.012742981347635542,0.06456781636664448,oscillatory
0.0005714285714285715,0.26,True,1.7,0.85,3.5725474324811457,0.000248116671002294,0.004971700569676918,0.010711717860053527,0.0645652844011012,oscillatory
0.0005714285714285715,0.3,True,1.7,0.85,3.5747117631459506,0.0002769026696011874,0.005391581455687664,0.01036739405926523,0.06449233406356471,oscillatory
0.0005714285714285715,0.34,True,1.7,0.85,3.573525348301716,0.0003070605066573341,0.005975273950181255,0.010742284186097878,0.06452757700994464,oscillatory
0.0007285714285714286,0.06,True,1.7,0.85,4.49918947526019,6.47074326695672e-05,0.010742671215210227,0.007333686272268332,0.03322461158238037,stable-convergent
0.0007285714285714286,0.1,True,1.7,0.85,4.404524823115669,9.034299879055902e-05,0.009165897295329378,0.008665983616178204,0.038241836312240894,stable-convergent
0.0007285714285714286,0.14,True,1.7,0.85,4.234759430544228,0.00013032354117592244,0.00740256898088987,0.009542386832215598,0.04658786864658522,stable-convergent
0.0007285714285714286,0.18,True,1.7,0.85,4.023470580894486,0.0001801724582488938,0.006047093239237858,0.01144726920506518,0.05546902183000106,oscillatory
0.0007285714285714286,0.22,True,1.7,0.85,3.6898533072566733,0.00023570000476824562,0.005148541340613111,0.013990114679161156,0.06329347961616766,oscillatory
0.0007285714285714286,0.26,True,1.7,0.85,3.5787150352336337,0.00026892897554288046,0.004957621684206913,0.0129021002450176,0.06438468360171432,oscillatory
0.0007285714285714286,0.3,True,1.7,0.85,3.569997384532985,0.0002985444720152143,0.00532666399320733,0.011131371347958588,0.06439579708987753,oscillatory
0.0007285714285714286,0.34,True,1.7,0.85,3.568662532135488,0.00032928015421815706,0.005911230906204029,0.01091033598160435,0.06442441142634353,oscillatory
0.0008857142857142857,0.06,True,1.7,0.85,4.528630110185463,6.946841942937393e-05,0.011063876748445767,0.006658272744546369,0.031124337691809438,stable-convergent
0.0008857142857142857,0.1,True,1.7,0.85,4.471803195731161,9.212747705564014e-05,0.009835707154184156,0.008211977581195828,0.03472930987472698,stable-convergent
0.0008857142857142857,0.14,True,1.7,0.85,4.333025747393833,0.0001283302077853037,0.008144685241412824,0.009050000520189987,0.04155610924555348,stable-convergent
0.0008857142857142857,0.18,True,1.7,0.85,4.166979934967932,0.00017488470667014126,0.006753676926662633,0.010065537173051958,0.049359304494139944,oscillatory
0.0008857142857142857,0.22,True,1.7,0.85,3.9436311349221502,0.0002319263884614299,0.005693852729244949,0.01230219241131586,0.057733306893662656,oscillatory
0.0008857142857142857,0.26,True,1.7,0.85,3.6420616382861866,0.00028756254716023297,0.0051328594429637464,0.014209602995325879,0.0636145231236231,oscillatory
0.0008857142857142857,0.3,True,1.7,0.85,3.5680009172601856,0.0003208083813785836,0.005261310020363611,0.013053251649237147,0.06430329849480795,oscillatory
0.0008857142857142857,0.34,True,1.7,0.85,3.563198418298951,0.00035216506359429334,0.0058328698722845615,0.011550360106914128,0.06434039225936353,oscillatory
0.001042857142857143,0.06,True,1.7,0.85,4.570774840468131,7.223273547196599e-05,0.011558452391556085,0.00621461670340308,0.0286669004461573,stable-convergent
0.001042857142857143,0.1,True,1.7,0.85,4.515116489984651,9.533796594630257e-05,0.01029053443843668,0.00763915243628735,0.03236067195063706,stable-convergent
0.001042857142857143,0.14,True,1.7,0.85,4.412456188437819,0.00012688904624253574,0.008841037629760174,0.008697584791620677,0.037461061538217176,stable-convergent
0.001042857142857143,0.18,True,1.7,0.85,4.267716003809672,0.0001706647865311704,0.007423788180544327,0.009471623078892424,0.04441453803161016,stable-convergent
0.001042857142857143,0.22,True,1.7,0.85,4.099253246999725,0.0002241919096370185,0.0063263165905141465,0.010733747218589228,0.05188739087434622,oscillatory
0.001042857142857143,0.26,True,1.7,0.85,3.8501041215724796,0.00028916941420189255,0.005519346996555673,0.01325929366729108,0.05995167877813122,oscillatory
0.001042857142857143,0.3,True,1.7,0.85,3.6004043768583815,0.0003419647857597928,0.005304330714836586,0.014409814541408545,0.06387674954531891,oscillatory
0.001042857142857143,0.34,True,1.7,0.85,3.558460273364265,0.0003756688348035281,0.005744147251135926,0.013169316375269283,0.06425421943144949,oscillatory
0.0012,0.06,True,1.7,0.85,4.616222906567613,7.408072235280672e-05,0.012119385220985112,0.005909084983934084,0.02635033605812272,stable-convergent
0.0012,0.1,True,1.7,0.85,4.559108509455059,9.736747287081541e-05,0.010782389854845557,0.007206197864632828,0.03002406703957831,stable-convergent
0.0012,0.14,True,1.7,0.85,4.47171858308467,0.00012704209495695865,0.009421044251426468,0.008307736770011509,0.034459460077544,stable-convergent
0.0012,0.18,True,1.7,0.85,4.348438141301492,0.00016722728803622827,0.008062239614753214,0.009105985235178917,0.04032961455464177,stable-convergent
0.0012,0.22,True,1.7,0.85,4.204062284668359,0.00021775210635003423,0.006936902320767865,0.009938456452329663,0.04704185326464062,stable-convergent
0.0012,0.26,True,1.7,0.85,4.0268957015149605,0.00027899401659973967,0.006086346130601715,0.011525453999020756,0.0543310748057723,oscillatory
0.0012,0.3,True,1.7,0.85,3.7469026223316946,0.000351489076245011,0.005550184961306135,0.014182238830654097,0.06191772741930427,oscillatory
0.0012,0.34,True,1.7,0.85,3.5690834118808654,0.0003990562613792393,0.005693419758923316,0.014564535462061944,0.06403757233462072,oscillatory
